symbol,name,address,market_cap,price_usd,decimals
BTC,BITCOIN,,409812444685.0,21348.0,
ETH,ETHEREUM,,197977416458.0,1642.73,
USDT,TETHER,,69366630585.0,1.0,
BNB,BNB,,57406553610.0,351.58,
USDC,USD COIN,,42083956235.0,1.001,
XRP,XRP,,25073282173.0,0.499118,
BUSD,BINANCE USD,,22568497181.0,1.001,
DOGE,DOGECOIN,,17434353685.0,0.12767,
ADA,CARDANO,,15114823910.0,0.431345,
SOL,SOLANA,,13862247475.0,38.6,
MATIC,POLYGON,,10732756861.0,1.21,
DOT,POLKADOT,,8425249889.0,7.21,
STETH,LIDO STAKED ETHER,,7655095927.0,1636.55,
SHIB,SHIBA INU,,7458784168.0,1.266e-05,
TRX,TRON,,5905968885.0,0.064033,
DAI,DAI,,5709396404.0,1.0,
AVAX,AVALANCHE,,6118557707.0,20.46,
OKB,OKB,,5470306461.0,21.74,
UNI,UNISWAP,,5822054483.0,7.72,
WBTC,WRAPPED BITCOIN,,5217680267.0,21329.0,
LTC,LITECOIN,,5046258853.0,70.63,
LEO,LEO TOKEN,,4094717208.0,4.4,
ATOM,COSMOS HUB,,4590696643.0,15.68,
LINK,CHAINLINK,,4344430270.0,8.84,
ETC,ETHEREUM CLASSIC,,3636647315.0,26.4,
FTT,FTX,,3399324348.0,25.44,
CRO,CRONOS,,3074029919.0,0.12168,
XLM,STELLAR,,2962259900.0,0.115485,
XMR,MONERO,,2890805591.0,159.11,
ALGO,ALGORAND,,3065599009.0,0.432545,
NEAR,NEAR PROTOCOL,,2794322734.0,3.41,
TON,THE OPEN NETWORK,,2464088222.0,1.67,
QNT,QUANT,,2364777536.0,162.6,
BCH,BITCOIN CASH,,2395297004.0,124.81,
FIL,FILECOIN,,2001751699.0,6.33,
FLOW,FLOW,,1945651113.0,1.88,
VET,VECHAIN,,1864125497.0,0.02570902,
TKX,TOKENIZE XCHANGE,,1411367542.0,17.35,
LUNC,TERRA LUNA CLASSIC,,1721501862.0,0.00025016,
HBAR,HEDERA,,1566742735.0,0.063666,
ICP,INTERNET COMPUTER,,1527424948.0,5.66,
EGLD,ELROND,,1428502964.0,60.09,
APE,APECOIN,,1575500862.0,5.01,
CHZ,CHILIZ,,1444507684.0,0.270071,
THETA,THETA NETWORK,,1299604650.0,1.3,
SAND,THE SANDBOX,,1421886648.0,0.930327,
XTZ,TEZOS,,1334415900.0,1.47,
FRAX,FRAX,,1218695302.0,0.998349,
AAVE,AAVE,,1378731666.0,97.39,
EOS,EOS,,1211774749.0,1.19,
MANA,DECENTRALAND,,1307270601.0,0.719659,
HT,HUOBI,,1125405106.0,8.59,
XCN,CHAIN,,1136244464.0,0.052902,
LDO,LIDO DAO,,1270130129.0,1.73,
WBT,WHITEBIT TOKEN,,980511617.0,8.78,
KCS,KUCOIN,,996548740.0,10.25,
AXS,AXIE INFINITY,,1156164960.0,10.6,
APT,APTOS,,1005536581.0,7.73,
BSV,BITCOIN SV,,945767982.0,49.35,
USDP,PAX DOLLAR,,899236021.0,0.999251,
TUSD,TRUEUSD,,816361187.0,1.0,
CUSDC,CUSDC,,787267941.0,0.02266931,
MKR,MAKER,,815617990.0,907.22,
BTT,BITTORRENT,,781609003.0,8.27629e-07,
KLAY,KLAYTN,,721259673.0,0.239929,
AR,ARWEAVE,,772480741.0,15.42,
OSMO,OSMOSIS,,789327814.0,1.67,
USDD,USDD,,721704259.0,0.996341,
XEC,ECASH,,753167663.0,3.92e-05,
MIOTA,IOTA,,763475592.0,0.274575,
CAKE,PANCAKESWAP,,711397938.0,4.9,
GT,GATE,,699705061.0,4.82,
GRT,THE GRAPH,,762675719.0,0.104192,
ETHW,ETHEREUMPOW,,698761834.0,6.53,
ZEC,ZCASH,,702305573.0,54.21,
FTM,FANTOM,,759347179.0,0.29826,
GUSD,GEMINI DOLLAR,,737424176.0,1.001,
EVMOS,EVMOS,,670414874.0,1.99,
NEO,NEO,,643985856.0,9.17,
BTSE,BTSE TOKEN,,637164124.0,3.93,
SNX,SYNTHETIX NETWORK,,652984654.0,2.71,
CETH,CETH,,578733608.0,32.83,
CDAI,CDAI,,576242512.0,0.02208316,
MINA,MINA PROTOCOL,,556930716.0,0.761706,
NEXO,NEXO,,572328848.0,1.022,
HNT,HELIUM,,568604552.0,4.31,
XRD,RADIX,,541417093.0,0.054017,
CRV,CURVE DAO,,580344556.0,1.023,
