address,balance_in_ether,ether_share_percent,is_contract
0x00000000219ab540356cbb839cbe05303d7705fa,14098615.00771856,11.69716228,1
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4065984.8981605,3.37341541,1
0xf977814e90da44bfa03b6295a0616a897441acec,2436827.40823973,2.02175644,0
0xda9dfa130df4de4673b89022ee50ff26f6ea73cf,2113030.08636722,1.75311233,0
0x0716a17fbaee714f1e6ab0f9d59edbc5f09815c0,2048606.58428984,1.69966225,0
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,1996008.35418228,1.65602321,0
0x742d35cc6634c0532925a3b844bc454e4438f44e,1425131.27285534,1.18238506,0
0x8315177ab297ba92a06054ce80a67ed4dbd7ed3a,678054.63513718,0.56255988,1
0x07ee55aa48bb72dcc6e9d78256648910de513eca,652196.04802293,0.54110585,1
0xdc24316b9ae028f1497c275eb9192a3ea0f67022,636555.58764671,0.52812947,1
0xa7efae728d2936e78bda97dc267687568dd593f3,549991.80813185,0.45631031,0
0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,479498.95358134,0.39782469,1
0xe92d1a43df510f82c66382592a047d288f85226f,450000.05010292,0.3733504,0
0xcffad3200574698b78f32232aa9d63eabd290703,403085.76325158,0.33442715,0
0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,390511.19728589,0.32399444,1
0x1b3cb81e51011b549d78bf720b0d924ac763a7c2,347300.00414221,0.28814352,0
0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,341271.07381753,0.28314151,1
0x756d64dc5edb56740fc617628dc832ddbcfd373c,340965.08205549,0.28288764,1
0xca8fa8f0b631ecdb18cda619c4fc9d197c8affca,325000.48165575,0.26964233,0
0xdf9eb223bafbe5c5271415c75aecd68c21fe3d7f,310239.95864489,0.257396,1
0x3bfc20f0b9afcace800d73d2191166ff16540258,306276.63537139,0.25410776,1
0x220866b1a2219f40e72f5c628b65d54268ca3a9d,290001.0093777,0.2406044,1
0xb29380ffc20696729b7ab8d093fa1e2ec14dfe2b,288496.69493986,0.23935632,0
0x8103683202aa8da10536036edef04cdd865c225e,275000.02804246,0.22815858,0
0x8484ef722627bf18ca5ae6bcf031c23e6e922b30,267968.37554865,0.22232464,1
0x78605df79524164911c144801f41e9811b7db73d,265556.20286776,0.22032334,1
0x176f3dab24a159341c0509bb36b833e7fdd0a132,261280.5800119,0.216776,0
0x0a4c79ce84202b03e95b7a692e5d728d83c44c76,254248.45402515,0.21094167,0
0x5a52e96bacdabb82fd05763e25335261b270efcb,250000.11849252,0.20741697,0
0x2b6ed29a95753c3ad948348e3e7b1a251080ffb9,250000.01706318,0.20741688,0
0x189b9cbd4aff470af2c0102f365fc1823d857965,249005.88270726,0.20659208,0
0x9acb5ce4878144a74eeededa54c675aa59e0d3d2,247980.48095241,0.20574134,0
0x9845e1909dca337944a0272f1f9f7249833d2d19,240001.2047907,0.19912119,0
0x9bec8d9d62c68792cea3123a231fb8c31f140f3d,239243.48731103,0.19849254,0
0x7b0419581eb2e34b4d3bfc1689f1bd855d364d9d,231927.78796896,0.19242294,0
0xc57ae759c085c0d23a9bbf8cd3e3d306a0acf7db,229000.01001,0.18999386,1
0xbddf00563c9abd25b576017f08c46982012f12be,219724.032025,0.18229788,1
0x59448fe20378357f206880c58068f095ae63d5a5,215368.75591044,0.17868445,0
0x25eaff5b179f209cf186b1cdcbfa463a69df4c45,211884.37307024,0.17579357,0
0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,209738.10678086,0.17401288,1
0x558553d54183a8542f7832742e7b4ba9c33aa1e6,200000.7357962,0.16593411,0
0x98ec059dc3adfbdd63429454aeb0c990fba4a128,200000.10705597,0.16593358,0
0x0c23fc0ef06716d2f8ba19bc4bed56d045581f2d,200000.0,0.16593349,1
0xcdbf58a9a9b54a2c43800c50c7192946de858321,193799.07451522,0.16078879,0
0xbf3aeb96e164ae67e763d9e050ff124e7c3fdd28,187068.19560722,0.1552044,0
0xc882b111a75c0c657fc507c04fbfcd2cc984f071,177528.23096867,0.1472894,0
0x36a85757645e8e8aec062a1dee289c7d615901ca,177328.30765968,0.14712353,0
0x550cd530bc893fc6d2b4df6bea587f17142ab64e,176818.52352806,0.14670058,0
0xdc1487e092caba080c6badafaa75a58ce7a2ec34,173831.58991683,0.14422242,0
0x9cf36e93a8e2b1eaaa779d9965f46c90b820048c,172592.06180659,0.14319402,0
