symbol,name,market_cap,address,price_usd
1INCH,,,0x111111111117dc0aa78b770fa6a738034120c302,
AAPL,,,0xd059c8a4c7f53c4352d933b059349ba492294ac9,
AAVE,,,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,
ABNB,,,,
ACB,,,,
ALGO,,,,
ALPHA,,,0x138c2f1123cf3f82e4596d097c118eac6684940b,
AMC,,,0x7603de2ea4cbceb0250118de03fcb70fe1e8e935,
AMD,,,,
AMZN,,,,
APE,,,0x40e0a6ef9dbadfc83c5e0d15262feb4638588d77,
APEAMC,,,,
APHA,,,,
ARKK,,,,
ASD,,,0xff742d05420b6aca4481f635ad8341f81a6300c2,
ATOM,,,,
AUD,,,,
AVAX,,,0x85f138bfee4ef8e540890cfb48f620571d67eda3,
AXS,,,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,
BABA,,,,
BAND,,,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,
BB,,,,
BCH,,,,
BILI,,,,
BITW,,,,
BNB,,,0x418d75f65a02b3d53b2418fb8e1fe493759c7605,
BNT,,,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,
BNTX,,,0x86d1d12523b65203851c571fcc029bf90903fb6d,
BRZ,,,0x420412e765bfa6d85aaac94b4f7b708c89be2e2b,
BTC,,,,
BYND,,,,
CAD,,,,
CEL,,,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,
CGC,,,,
COIN,,,0xe61fdaf474fac07063f2234fb9e60c1163cfa850,
CRON,,,,
CUSDT,,,0xf650c3d88d12db855b8bf7d11be6c55a4e07dcc9,
DAI,,,0x6b175474e89094c44da98b954eedeac495271d0f,
DKNG,,,,
DOGE,,,,
DOT,,,,
ETH,,,,
ETHE,,,,
ETHW,,,,
EUR,,,,
FB,,,0xfb19075d77a0f111796fb259819830f4780f1429,
FTM,,,0x4e15361fd6b4bb609fa63c81a2be19d873717870,
GBP,,,,
GBTC,,,,
GDX,,,,
GDXJ,,,,
GLD,,,,
GLXY,,,,
GME,,,0x9eb6be354d88fd88795a04de899a57a77c545590,
GMT,,,0x7ddc52c4de30e94be3a6a0a2b259b2850f421989,
GOOGL,,,,
GRT,,,0xc944e90c64b2c07662a292be6244bdf05cda44a7,
HOOD,,,,
HT,,,0x6f259637dcd74c767781e37bc6133cd6a68aa161,
KNC,,,0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202,
LEO,,,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,
LINK,,,0x514910771af9ca656af840dff83e8264ecf986ca,
LOOKS,,,0xf4d2888d29d722226fafa5d9b24f9164c092421e,
LTC,,,,
LUNC,,,0xbd31ea8212119f94a611fa969881cba3ea06fa3d,
MATIC,,,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,
MKR,,,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,
MOB,,,,
MRNA,,,,
MSOL,,,,
MSTR,,,,
NFLX,,,,
NIO,,,,
NOK,,,,
NVDA,,,,
OKB,,,0x75231f58b43240c9718dd58b4967c5114342a86c,
OMG,,,0x3d1f5e133c2988d14a0c13bdd2b58d260e74ef9a,
PAXG,,,0x45804880de22913dafe09f4980848ece6ecbaf78,
PENN,,,,
PFE,,,,
PYPL,,,,
RAY,,,,
REN,,,0x408e41876cccdc0f92210600ef50372656052a38,
RSR,,,0x320623b8e4ff03373931769a31fc52a4e78b5d70,
SLV,,,0x4c1c4957d22d8f373aed54d0853b090666f6f9de,
SNX,,,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,
SOL,,,0xd31a59c85ae9d8edefec411d448f90841571b89c,
SPY,,,,
SQ,,,,
STSOL,,,,
SUSHI,,,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,
SXP,,,0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9,
TLRY,,,,
TOMO,,,,
TRX,,,,
TRYB,,,0x2c537e5624e4af88a7ae4060c022609376c8d0eb,
TSLA,,,0x110fe5f21c1edd4f03a6e0de0d96d0c2eed0b9cc,
TSM,,,,
TWTR,,,,
UBER,,,,
UNI,,,0x2730d6fdc86c95a74253beffaa8306b40fedecbb,
USD,,,0x44086035439e676c02d411880fccb9837ce37c57,
USDT,,,0xdac17f958d2ee523a2206206994597c13d831ec7,
USO,,,,
USTC,,,0xa47c8bf37f92abed4a126bda807a7b7498661acd,
WBTC,,,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,
WNDR,,,,
XAUT,,,0x68749665ff8d2d112fa859aa293f07a622782f38,
XRP,,,,
YFI,,,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,
ZM,,,,
