symbol,name,market_cap,address,price_usd
1INCH,1INCH/USD,,0x111111111117dc0aa78b770fa6a738034120c302,
AAPL,AAPL/USD,,0xd059c8a4c7f53c4352d933b059349ba492294ac9,
AAVE,AAVE/USD,,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,
AAVE,AAVE/USDT,,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,
ABNB,ABNB/USD,,,
ACB,ACB/USD,,,
AGLD,AGLD/USD,,0x32353a6c91143bfd6c7d363b546e62a9a2489a20,
AKRO,AKRO/USD,,0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7,
AKRO,AKRO/USDT,,0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7,
ALCX,ALCX/USD,,0xdbdb4d16eda451d0503b854cf79d55697f90c8df,
ALEPH,ALEPH/USD,,0x27702a26126e0b3702af63ee09ac4d1a084ef628,
ALGO,ALGO/USD,,,
ALGO,ALGO/USDT,,,
ALICE,ALICE/USD,,0xac51066d7bec65dc4589368da368b212745d63e8,
ALPHA,ALPHA/USD,,0x138c2f1123cf3f82e4596d097c118eac6684940b,
AMC,AMC/USD,,0x7603de2ea4cbceb0250118de03fcb70fe1e8e935,
AMD,AMD/USD,,,
AMPL,AMPL/USD,,0xd46ba6d942050d489dbd938a2c909a5d5039a161,
AMPL,AMPL/USDT,,0xd46ba6d942050d489dbd938a2c909a5d5039a161,
AMZN,AMZN/USD,,,
APE,APE/USD,,0x40e0a6ef9dbadfc83c5e0d15262feb4638588d77,
APEAMC,APEAMC/USD,,,
APHA,APHA/USD,,,
ARKK,ARKK/USD,,,
ASD,ASD/USD,,0xff742d05420b6aca4481f635ad8341f81a6300c2,
ATLAS,ATLAS/USD,,,
ATOM,ATOM/USD,,,
ATOM,ATOM/USDT,,,
AUDIO,AUDIO/USD,,0x18aaa7115705e8be94bffebde57af9bfc265b998,
AUDIO,AUDIO/USDT,,0x18aaa7115705e8be94bffebde57af9bfc265b998,
AURY,AURY/USD,,,
AVAX,AVAX/BTC,,0x85f138bfee4ef8e540890cfb48f620571d67eda3,
AVAX,AVAX/JPY,,0x85f138bfee4ef8e540890cfb48f620571d67eda3,
AVAX,AVAX/TRY,,0x85f138bfee4ef8e540890cfb48f620571d67eda3,
AVAX,AVAX/USD,,0x85f138bfee4ef8e540890cfb48f620571d67eda3,
AVAX,AVAX/USDT,,0x85f138bfee4ef8e540890cfb48f620571d67eda3,
AXS,AXS/USD,,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,
BABA,BABA/USD,,,
BADGER,BADGER/USD,,0x3472a5a71965499acd81997a54bba8d852c6e53d,
BAL,BAL/USD,,0xba100000625a3754423978a60c9317c58a424e3d,
BAL,BAL/USDT,,0xba100000625a3754423978a60c9317c58a424e3d,
BAND,BAND/USD,,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,
BAO,BAO/USD,,0x374cb8c27130e2c9e04f44303f3c8351b9de61c1,
BAR,BAR/USD,,,
BAT,BAT/JPY,,0x0d8775f648430679a709e98d2b0cb6250d2887ef,
BAT,BAT/USD,,0x0d8775f648430679a709e98d2b0cb6250d2887ef,
BB,BB/USD,,,
BCH,BCH/BTC,,,
BCH,BCH/JPY,,,
BCH,BCH/USD,,,
BCH,BCH/USDT,,,
BICO,BICO/USD,,0xf17e65822b568b3903685a7c9f496cf7656cc6c2,
BILI,BILI/USD,,,
