symbol,price_usd,name,market_cap,decimals,address
ETH,1845.72,Ethereum,224165175277.0,18.0,0x0000000000000000000000000000000000000000
USDT,1.001,Tether,82150389075.0,6.0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9
USDT,1.001,Tether,82150389075.0,6.0,0xc2132d05d31c914a87c6611c10748aeb04b58e8f
USDT,1.005,TETHER,77861643252.0,6.0,0xdac17f958d2ee523a2206206994597c13d831ec7
BNB,313.13,BNB,50057731356.0,18.0,0xb8c77482e45f1f44de1745f52c74426c631bdd52
USDC,1.008,USD COIN,35297959573.0,6.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
USDC,1.001,USD Coin,30214159401.0,6.0,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8
USDC,1.001,USD Coin,30214159401.0,6.0,0x2791bca1f2de4661ed88a30c99a7a9449aa84174
STETH,1812.48,LIDO STAKED ETHER,10573686387.0,18.0,0xae7ab96520de3a18e5e111b5eaab095312d7fe84
MATIC,0.898295,Polygon,8637000659.0,18.0,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0
MATIC,0.898295,Polygon,8637000659.0,18.0,0x0000000000000000000000000000000000000000
SHIB,1.102e-05,SHIBA INU,6456911812.0,18.0,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce
BUSD,0.999482,Binance USD,5960692947.0,18.0,0xdab529f40e671a1d4bf91361c21bf9f0c9712ab7
BUSD,0.999482,Binance USD,5960692947.0,18.0,0x4fabb145d64652a948d72533023f6e7a623c7c53
DAI,1.002,DAI,5317237281.0,18.0,0x6b175474e89094c44da98b954eedeac495271d0f
UNI,6.38,UNISWAP,4782996257.0,18.0,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
UNI,6.38,UNISWAP,4782996257.0,8.0,0x2730d6fdc86c95a74253beffaa8306b40fedecbb
DAI,0.999809,Dai,4680240233.0,18.0,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063
DAI,0.999809,Dai,4680240233.0,18.0,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1
WBTC,27599.0,Wrapped Bitcoin,4307134115.0,8.0,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f
WBTC,27599.0,Wrapped Bitcoin,4307134115.0,8.0,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6
WBTC,28664.0,WRAPPED BITCOIN,4285148434.0,8.0,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
UNI,4.94,Uniswap,3849490106.0,18.0,0xb33eaad8d922b1083446dc23f610c2567fb5180f
UNI,4.94,Uniswap,3849490106.0,18.0,0xfa7f8980b0f1e64a2062791cc3b0871572f1f7f0
LINK,7.69,CHAINLINK,3771121981.0,18.0,0x514910771af9ca656af840dff83e8264ecf986ca
LINK,6.58,Chainlink,3476891363.0,18.0,0xf97f4df75117a78c1a5a0dbb814af92458539fb4
LINK,6.58,Chainlink,3476891363.0,18.0,0x53e0bca35ec356bd5dddfebbd1fc0fd03fabad39
LEO,3.4,LEO TOKEN,3146548402.0,18.0,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3
TON,2.05,Toncoin,2947285566.0,9.0,0x582d872a1b094fc48f5de31d3b73f2d9be47def1
TON,1.83,THE OPEN NETWORK,2699333562.0,18.0,0x6a6c2ada3ce053561c2fbc3ee211f23d9b8c520a
TON,1.83,THE OPEN NETWORK,2699333562.0,18.0,0x2be5e8c109e2197d077d13a82daead6a9b3433c5
OKB,43.77,OKB,2620787807.0,18.0,0x75231f58b43240c9718dd58b4967c5114342a86c
TUSD,1.012,TRUEUSD,2043103998.0,18.0,0x0000000000085d4780b73119b644ae5ecd22b376
TUSD,1.001,TrueUSD,2038798839.0,18.0,0x4d15a3a2286d883af0aa1b3f21367843fac63e07
TUSD,1.001,TrueUSD,2038798839.0,18.0,0x2e1ad108ff1d8c782fcbbb89aad783ac49586756
LDO,2.38,LIDO DAO,2029451692.0,18.0,0x5a98fcbea516cf06857215779fd812ca3bef1b32
QNT,129.74,QUANT,1874935429.0,18.0,0x4a220e6096b25eadb88358cb44068a3248254675
CRO,0.07171,CRONOS,1799261255.0,8.0,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b
ASTETH,1845.29,Aave interest bearing STETH,1725247290.3761022,18.0,0x1982b2f5814301d4e9a8b0201555376e62f82428
STX,1.2,STACKS,1615489316.0,18.0,0x006bea43baa3f7a6f765f14f10a1a1b08334ef45
LDO,1.74,Lido DAO,1505605014.0,18.0,0x13ad51ed4f1b7e9dc168d8a00cb3f4ddd85efa60
LDO,1.74,Lido DAO,1505605014.0,18.0,0xc3c7d422809852031b44ab29eec9f1eff2a58756
APE,4.1,APECOIN,1501376052.0,9.0,0x40e0a6ef9dbadfc83c5e0d15262feb4638588d77
APE,4.1,APECOIN,1501376052.0,18.0,0x4d224452801aced8b2f0aebe155379bb5d594381
ARB,1.084,Arbitrum,1499711552.0,18.0,0xb50721bcf8d664c30412cfbc6cf7a15145234ad1
ARB,1.084,Arbitrum,1499711552.0,18.0,0x912ce59144191c1204e64559fe8253a0e49e6548
GRT,0.152314,THE GRAPH,1342277210.0,18.0,0xc944e90c64b2c07662a292be6244bdf05cda44a7
APE,3.37,ApeCoin,1272553719.0,18.0,0xb7b31a6bc18e48888545ce79e83e06003be70930
