rank,address,qty,percentage,token_address,token_symbol
1.0,0xf89d7b9c864f589bbf53a82105107622b35eaa40,48634977.322539,0.1203,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
2.0,0x0d0707963952f2fba59dd06f2b425ace40b492fe,21370337.359184,0.0529,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
3.0,0xef47ccc71ec8941b67dc679d1a5f78facfd0ec3c,20042927.02684,0.0496,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
4.0,0x960ea3e3c7fb317332d990873d354e18d7645590,7468229.620368,0.0185,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
5.0,0xb90af3f22e5c9bbb6bd889fe3203d95b5344ce2c,7252027.81,0.0179,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
6.0,0xb86f1061e0d79e8319339d5fdbb187d4e7ad3300,6284003.067848,0.0155,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
7.0,0x1619de6b6b20ed217a58d00f37b9d47c7663feca,6238184.767329,0.0154,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
8.0,0xcb0e5bfa72bbb4d16ab5aa0c60601c438f04b4ad,5026959.787255,0.0124,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
9.0,0x641c00a822e8b671738d32a431a4fb6074e5c79d,4605760.423743,0.0114,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
10.0,0xa66f8db3b8f1e4c79e52ac89fec052811f4dbd19,4389075.782644,0.0109,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
11.0,0x2487cb1a359c942312259bbc64a01cee32e9f539,4302800.887841,0.0106,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
12.0,0xb6cfcf89a7b22988bfc96632ac2a9d6dab60d641,3772246.095521,0.0093,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
13.0,0x7f90122bf0700f9e7e1f688fe926940e8839f353,2808890.43472,0.0069,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
14.0,0x4943b0c9959dcf58871a799dfb71bece0d97c9f4,2500000.0,0.0062,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
15.0,0x969f7699fbb9c79d8b61315630cdeed95977cfb8,2435624.312828,0.006,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
16.0,0xe25c248ee2d3d5b428f1388659964446b4d78599,2414345.525527,0.006,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
17.0,0x941f4ac07d2526258fc9a07a6c9a23715968b419,2291588.076258,0.0057,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
18.0,0x489a8756c18c0b8b24ec2a2b9ff3d4d447f79bec,2000000.0,0.0049,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
19.0,0x515dc0ed66ec807066ecc99b53a25b4477fff51f,1776109.81,0.0044,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
20.0,0xe56ed3363a45bfe2a66a489c6866b030fd5477fa,1691995.152763,0.0042,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
21.0,0xc9df93497b1852552f2200701ce58c236cc0378c,1686286.12514,0.0042,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
22.0,0x62383739d68dd0f844103db8dfb05a7eded5bbe6,1680957.464071,0.0042,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
23.0,0x88cdd4e3fa3585a364c30d217f6a31c52afa3f1f,1656919.61389,0.0041,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
24.0,0x9dd329f5411466d9e0c488ff72519ca9fef0cb40,1613049.780989,0.004,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
25.0,0x983873529f95132bd1812a3b52c98fb271d2f679,1408412.64345,0.0035,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
26.0,0x227ad861466853783f5956ddbb119235ff4377b3,1368194.509181,0.0034,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
27.0,0x8343d5ab29b1a4928dc4e331fce2e43c0e4fe4c3,1255303.01556,0.0031,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
28.0,0x0e90b2e2c5978edcf4363317f01d67e4bdae8d2a,1200000.0,0.003,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
29.0,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,1187460.686833,0.0029,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
30.0,0x489ee077994b6658eafa855c308275ead8097c4a,1119131.089376,0.0028,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
31.0,0x3ca430c26723e03d77f335f6ba57076f6ac89032,1112800.555112,0.0028,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
32.0,0x875ce69f87beb1d9b0c407597d4057fa91d364a7,1055909.28374,0.0026,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
